age;genderid;econ.conlib;rel.conlib;vote2016;conscientious
43;1;4;5;2;20
36;1;2;2;2;23
36;0;2;2;2;16
39;1;2;2;3;23
47;1;2;2;2;27
35;0;2;7;2;17
20;1;4;4;4;29
21;1;2;3;2;25
20;0;2;2;2;19
20;1;4;4;4;29
21;1;4;4;3;21
21;1;4;3;2;30
27;0;3;5;3;22
21;1;5;7;4;25
35;1;3;3;2;19
51;1;2;1;2;21
22;1;3;3;2;26
20;1;2;2;2;25
20;1;4;6;4;19
18;1;2;1;2;28
33;1;4;4;4;28
24;1;2;2;1;16
38;1;4;6;1;21
28;1;2;2;3;19
20;0;4;6;3;19
29;0;7;5;1;21
22;1;6;7;4;22
21;1;5;7;1;28
22;0;3;2;1;26
23;1;3;2;4;25
20;0;3;1;2;25
22;1;4;4;4;23
22;0;2;2;4;24
19;0;6;7;1;17
22;0;2;4;2;25
45;1;4;2;1;26
22;0;3;4;3;26
37;1;4;4;4;28
32;1;4;4;2;21
26;0;4;4;4;20
36;1;2;3;2;24
20;1;5;4;4;18
31;1;2;2;3;21
40;0;2;2;2;18
22;0;1;2;2;27
20;0;3;3;4;26
22;0;2;3;4;17
24;1;2;2;4;26
23;1;5;7;1;27
21;0;4;4;4;24
34;0;2;3;3;19
19;1;5;3;4;23
19;1;1;2;2;20
20;1;2;1;2;30
19;0;2;2;2;28
21;1;2;3;3;28
21;1;2;2;2;20
19;1;4;2;4;26
21;0;5;2;3;15
19;1;6;5;1;23
21;0;6;6;2;12
22;0;1;7;1;29
22;1;2;1;2;18
19;1;4;6;1;12
20;1;3;3;1;28
22;1;2;2;2;27
40;0;2;6;2;30
47;1;6;7;1;20
24;0;5;6;4;25
21;1;2;5;2;28
25;1;5;4;4;24
20;1;5;7;1;27
33;0;4;2;1;27
24;0;3;7;3;23
21;0;6;6;1;26
31;0;2;3;2;26
27;0;6;5;1;25
43;0;4;6;1;25
22;1;6;7;1;22
22;0;2;2;4;21
25;1;4;4;2;28
33;1;5;3;1;30
38;1;6;7;1;26
22;1;4;4;1;21
22;1;2;6;3;20
32;1;5;3;1;30
22;1;2;2;2;24
21;1;6;7;1;16
53;1;6;4;1;23
23;1;6;4;3;30
22;1;5;6;1;25
20;1;2;7;2;20
31;1;5;6;1;20
29;0;3;7;4;20
22;1;5;7;3;8
26;1;4;3;4;19
20;1;6;4;1;24
18;0;2;2;2;25
21;1;6;2;4;25
44;1;2;2;3;20
45;1;6;7;1;22
22;1;1;1;2;23
21;1;4;4;4;20
23;0;5;6;4;25
21;1;4;3;4;18
27;0;5;4;1;28
32;1;5;4;1;27
21;1;4;4;4;28
21;1;6;6;1;19
32;1;5;5;3;22
33;0;2;2;4;17
22;0;4;4;3;25
32;0;4;4;4;17
36;1;4;4;1;15
24;1;5;5;3;23
27;1;4;4;4;18
27;0;4;4;4;17
33;1;6;6;3;19
23;0;4;4;4;18
22;1;5;4;4;18
